serial,folder,sold_type,engine_primary,engine_next,skip_reason,i_duty,um,ust,steps,connection,phases,verdict
"E-CV2260281","VCV","CV2III-600D/72.5-10193G","","","no transformer I","","72.5","","","D","III","skip"
"E-CV2260282-283","VCV","CV2III-600D/72.5-10193G","","","no transformer I","","72.5","","","D","III","skip"
"E-CV2260284","VCV","CV2III-600D/40.5-12233W","","","no transformer I","","40.5","","","D","III","skip"
"E-CV2260285","VCV","CV2III-350D/40.5-10193W","CV2III-350D/40.5-10193W","CV2III-600D/40.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","72.46","40.5","431.25","8","D","III","exact"
"E-CV2260286","VCV","CV2III-600D/40.5-10091W","","","no transformer I","","40.5","","","D","III","skip"
"E-CV2260287","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","72.46","145","1725","8","D","III","exact"
"E-CV2260288","VCV","CV2III-600D/40.5-10193W","","","no transformer I","","40.5","","","D","III","skip"
"E-CV2260289","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","62.76","145","0","8","D","III","exact"
"E-CV2260290-291","VCV","CV2III-600Y/72.5-10193W","CV2III-600Y/72.5-10193W","CM2III-600Y/72.5B-10193W | SHZVIII-600Y/72.5B-10193W | SHZVIII-1000Y/72.5B-10193W","","535","72.5","318","8","Y","III","exact"
"E-CV2260292-293","VCV","CV2III-600D/72.5-10193G","","","no transformer I","","72.5","","","D","III","skip"
"E-CV2260294-295","VCV","CV2III-600D/72.5-10193G","","","no transformer I","","72.5","","","D","III","skip"
"E-CV2260296","VCV","CV2III-600D/126-10193W","CV2III-600D/126-10193W","CM2III-500D/126C-10193W | CM2III-600D/126C-10193W | SHZVIII-600D/126C-10193W","","411.66","126","952.63","8","D","III","exact"
"E-CV2260297","VCV","CV2III-600D/725-10193W","","","Parameters out of catalogue range (current, Um, step voltage, or positions).","411.66","725","952.63","8","D","III","miss"
"E-CV2260298","VCV","CV2III-350D/72.5-12233W","CV2III-350D/72.5-12233W","CV2III-600D/72.5-12233W | CM2III-500D/72.5B-12233W | CM2III-600D/72.5B-12233W","","133.27","72.5","897","10","D","III","exact"
"E-CV2260299-304","VCV","CV2III-600Y/72.5-10191W","","","no transformer I","","72.5","","","Y","III","skip"
"E-CV2260305-307","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","196.9","72.5","498","8","D","III","exact"
"E-CV2260308","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","64.26","145","1725","8","D","III","exact"
"E-CV2260309-312","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","80.43","145","1725","8","D","III","exact"
"E-CV2260313","VCV","CV2III-350Y/40.5-10193G","CV2III-350Y/40.5-10193G","CV2III-600Y/40.5-10193G | CM2III-500Y/72.5B-10193G | CM2III-600Y/72.5B-10193G","","277.6","40.5","150","8","Y","III","exact"
"E-CV2260314","VCV","CV2III-350D/40.5-10100","CV2III-350D/40.5-10100","CV2III-600D/40.5-10100 | CM2III-500D/72.5B-10100 | CM2III-600D/72.5B-10100","","241.6","40.5","910","","D","III","exact"
"E-CV2260315-316","VCV","CV2III-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CM2III-500Y/72.5B-10191W | CM2III-600Y/72.5B-10191W","","212","72.5","1182","9","Y","III","exact"
"E-CV2260317-318","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","71","145","1725","8","D","III","exact"
"E-CV2260319-320","VCV","CV2III-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","196.9","72.5","498","8","D","III","exact"
"E-CV2260321","VCV","CV2III-350D/126-10193W","CV2III-350D/126-10193W","CV2III-600D/126-10193W | CM2III-500D/126C-10193W | CM2III-600D/126C-10193W","","263","126","0","8","D","III","exact"
"E-CV2260322-325","VCV","CV2III-600Y/72.5-10191W","CV2III-600Y/72.5-10191W","CM2III-500Y/72.5B-10191W | CM2III-600Y/72.5B-10191W | SHZVIII-600Y/72.5B-10191W","","458.2","72.5","606.3","9","Y","III","exact"
"E-CV2260326","VCV","","","","no sold_type","","","","","","","skip"
"E-CV2260327","VCV","CV2III-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CM2III-500Y/72.5B-10191W | CM2III-600Y/72.5B-10191W","","257.3","72.5","1271","9","Y","III","exact"
"E-CV2260328","VCV","","","","no sold_type","","","","","","","skip"
"E-CV2260329-334","VCV","CV2III-350D/40.5-10193W","","","no transformer I","","40.5","","","D","III","skip"
"E-CV2260335-336","VCV","CV2III-350D/145-12231W","CV2III-350D/145-12231W","CV2III-600D/145-12231W | CM2III-500D/170D-12231W | CM2III-600D/170D-12231W","","252","145","763.6","11","D","III","exact"
"E-CV2260337","VCV","CV2III-350D/145-12231W","CV2III-350D/145-12231W","CV2III-600D/145-12231W | CM2III-500D/170D-12231W | CM2III-600D/170D-12231W","","116.2","145","1255","11","D","III","exact"
"E-CV2260338","VCV","CV2III-350D/72.5-12231W","CV2III-350D/72.5-12231W","CV2III-600D/72.5-12231W | CM2III-500D/72.5B-12231W | CM2III-600D/72.5B-12231W","","185.9","72.5","627.5","11","D","III","exact"
"E-CV2260339","VCV","CV2III-500Y/72.5-10193W","","","no transformer I","","72.5","","","Y","III","skip"
"E-CV2260340","VCV","CV2III-350D/72.5-12231W","CV2III-350D/72.5-12231W","CV2III-600D/72.5-12231W | CM2III-500D/72.5B-12231W | CM2III-600D/72.5B-12231W","","185.9","72.5","627.5","11","D","III","exact"
"E-CV2260341-342","VCV","CV2III-600D/40.5-10193W","CV2III-600D/40.5-10193W","CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W | SHZVIII-600D/72.5B-10193W","","438","40.5","275","8","D","III","exact"
"E-CV2260343-344","VCV","CV2III-350D/40.5-10193W","CV2III-350D/40.5-10193W","CV2III-600D/40.5-10193W | CM2III-500D/72.5B-10193W | CM2III-600D/72.5B-10193W","","168","40.5","275","8","D","III","exact"
"E-CV2260345","VCV","CV2III-350D/145-10193W","CV2III-350D/145-10193W","CV2III-600D/145-10193W | CM2III-500D/170D-10193W | CM2III-600D/170D-10193W","","64.26","145","1725","8","D","III","exact"
"E-CV2260346","VCV","CV2III-600Y/72.5-10173G","CV2III-600Y/72.5-16151G","CM2III-500Y/72.5B-16151G | CM2III-600Y/72.5B-16151G | SHZVIII-600Y/72.5B-16151G","","419.6","72.5","739","7","Y","III","family-i-um"
"E-CV2260349","VCV","","","","no sold_type","","","","","","","skip"
"E-WG260001","WG","WDGV-800Y/40.5-6x5","","","unparsed sold_type","","40.5","555.7","","Y","V","skip"
"E-WG260002-003","WG","WDGV-800/40.5-6x5B","","","unparsed sold_type","","40.5","555.7","","","V","skip"
"E-WG260004-009","WG","WDGIV-800/40.5-5x5A","","","unparsed sold_type","631","40.5","","2","","IV","skip"
"E-WG260010-012","WG","3xWDGIV-400/40.5-5x5A","","","unparsed sold_type","394.6","40.5","","2","","IV","skip"
"E-WG260013-014","WG","WDGV-800Y/40.5-6x5","","","unparsed sold_type","","40.5","555.7","","Y","V","skip"
"E-WG260015-016","WG","3xWDGIV-400/72.5-5x5A","","","unparsed sold_type","395","72.5","","2","","IV","skip"
"E-WG260017-018","WG","3xWDGIV-400/40.5-5x5A","","","unparsed sold_type","394.6","40.5","","2","","IV","skip"
"E-WG260019","WG","3xWDGIV-800/72.5-5x5A","","","unparsed sold_type","630.6","72.5","","2","","IV","skip"
"E-WG260020","WG","3xWDGIV-400/72.5-5x5A","","","unparsed sold_type","395","72.5","","2","","IV","skip"
"E-WG260021-022","WG","3xWDGIV-400/72.5-5x5A","","","unparsed sold_type","395","72.5","","2","","IV","skip"
"E-WG260023","WG","WDGV-800/40.5-6x5","","","unparsed sold_type","","40.5","","","","V","skip"
"E-WG260024-026","WG","WDGIV-800/40.5-5x5A","","","unparsed sold_type","631","40.5","","2","","IV","skip"
"E-WG260027","WG","3xWDGIV-400/72.5-5x5A","","","unparsed sold_type","395","72.5","","2","","IV","skip"
"E-WG260028-030","WG","","","","no sold_type","","","","1","","","skip"
"E-WG260031-032","WG","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","252.6","72.5","0","9","Y","III","eligible"
"E-WG260033","WG","","","","no sold_type","","","","","","","skip"
"E-WG260034","WG","3xWDGV-800/72.5-6x5B","","","unparsed sold_type","627.8","72.5","","2","","V","skip"
"E-WG260035-040","WG","WDGIV-800/40.5-5x5A","","","unparsed sold_type","631","40.5","","2","","IV","skip"
"E-WG260041","WG","3xWDGIV-400/72.5-5x5A","","","unparsed sold_type","395","72.5","","2","","IV","skip"
"E-WG260042-043","WG","3xWDGIV-800/72.5-5x5A","","","unparsed sold_type","630.6","72.5","","2","","IV","skip"
"E-WG260044","WG","3xWDGIV-1250/72.5-5x5A","","","unparsed sold_type","995","72.5","","2","","IV","skip"
"E-WG260045","WG","3xWDGIV-400/40.5-5x5A","","","unparsed sold_type","394.6","40.5","","2","","IV","skip"
"E-W260001","WL","WSLIV-600D/72.5-6x5B","WSLII-600D/72.5-12x11B","WSLII-800D/72.5-12x11B","","297","72.5","0","4","D","III","family"
"E-W260002","WL","WSLIV-600Y/72.5-6x5B","WSLIV-600Y/72.5-12x11B","WSLIV-800Y/72.5-12x11B","","515","72.5","0","4","Y","III","family-i-um"
"E-W260003","WL","WSLIV-600Y/72.5-6x5A","WSLIV-600Y/72.5-6x5A","WSLIV-800Y/72.5-6x5A","","132.2","72.5","0","2","Y","III","exact"
"E-W260004-006","WL","WSLIV-600Y/72.5-6x5A","","","no transformer I","","72.5","","","Y","IV","skip"
