serial,folder,sold_type,engine_primary,engine_next,skip_reason,i_duty,um,ust,steps,connection,phases,verdict
"E-V260180","CV","CVIII-350Y/72.5-10090","CV2III-350Y/72.5-10090","CV2III-600Y/72.5-10090 | CVIII-350Y/72.5-10090 | SVIII-500Y/72.5-10090","","114.2","72.5","454.7","","Y","III","eligible"
"E-V260181","CV","CVIII-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CVIII-350Y/72.5-10193W | SVIII-500Y/72.5-10193W","","167","72.5","318","8","Y","III","eligible"
"E-V260182","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","53","72.5","1182","9","Y","III","eligible"
"E-V260183-184","CV","CVIII-350Y/40.5-10193W","CV2III-350Y/40.5-10193W","CV2III-600Y/40.5-10193W | CVIII-350Y/40.5-10193W | SVIII-500Y/40.5-10193W","","267","40.5","318","8","Y","III","eligible"
"E-V260185","CV","CVIII-350Y/40.5-10193W","CV2III-350Y/40.5-10193W","CV2III-600Y/40.5-10193W | CVIII-350Y/40.5-10193W | SVIII-500Y/40.5-10193W","","267","40.5","318","8","Y","III","eligible"
"E-V260186-187","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","212","72.5","1182","9","Y","III","eligible"
"E-V260188-197","CV","","","","no sold_type","","","","","","","skip"
"E-V260198-199","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","53","72.5","1182","9","Y","III","eligible"
"E-V260200-202","CV","","","","no sold_type","","","","","","","skip"
"E-V260203","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","149.45","72.5","1181.84","9","Y","III","eligible"
"E-V260204","CV","CVIII-350Y/40.5-12111W","","","no transformer I","","40.5","","","Y","III","skip"
"E-V260205-206","CV","CVIII-350D/72.5-10193W","CV2III-350D/72.5-10193W","CV2III-600D/72.5-10193W | CVIII-350D/72.5-10193W | SVIII-500D/72.5-10193W","","50.3","72.5","862.5","8","D","III","eligible"
"E-V260207-208","CV","CVIII-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CVIII-350Y/72.5-10193W | SVIII-500Y/72.5-10193W","","167","72.5","318","8","Y","III","eligible"
"E-V260209","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","132.6","72.5","1180","9","Y","III","eligible"
"E-V260210-211","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","133","72.5","1182","9","Y","III","eligible"
"E-V260212-214","CV","","","","no sold_type","","","","","","","skip"
"E-V260215-216","CV","CVIII-350D/40.5-10193W","CV2III-350D/40.5-10193W","CV2III-600D/40.5-10193W | CVIII-350D/40.5-10193W | SVIII-500D/40.5-10193W","","333.09","40.5","500","8","D","III","eligible"
"E-V260217-218","CV","","","","no sold_type","","","","","","","skip"
"E-V260219","CV","","","","no sold_type","","","","","","","skip"
"E-V260220","CV","","","","no sold_type","","","","","","","skip"
"E-V260221-222","CV","SVIII-500Y/72.5-10193W","CV2III-600Y/72.5-10193W","SVIII-500Y/72.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","446.7","72.5","0","8","Y","III","eligible"
"E-V260223","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","334","72.5","1209","9","Y","III","eligible"
"E-V260224-229","CV","","","","no sold_type","","","","","","","skip"
"E-V260230-231","CV","","","","no sold_type","","","","","","","skip"
"E-V260232","CV","","","","no sold_type","","","","","","","skip"
"E-V260233","CV","","","","no sold_type","","","","","","","skip"
"E-V260234","CV","CVIII-350Y/72.5-10193W","","","no transformer I","","72.5","318","8","Y","III","skip"
"E-V260235-236","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","212","72.5","1182","9","Y","III","eligible"
"E-V260237-238","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","133","72.5","1187","9","Y","III","eligible"
"E-V260239","CV","CVIII-350D/40.5-1","","","no transformer I","","40.5","","","D","III","skip"
"E-V260240","CV","CVIII-350D/40.5-1","","","no transformer I","","40.5","","","D","III","skip"
"E-V260241","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","334","72.5","1182","9","Y","III","eligible"
"E-V260242-244","CV","CVIII-350D/40.5-14131W","CV2III-350D/40.5-14131W","CV2III-600D/40.5-14131W | CVIII-350D/40.5-14131W | SVIII-500D/40.5-14131W","","138.8","40.5","498.5","6","D","III","eligible"
"E-V260245-248","CV","CVIII-350Y/72.5-12233W","CV2III-350Y/72.5-12233W","CV2III-600Y/72.5-12233W | CVIII-350Y/72.5-12233W | SVIII-500Y/72.5-12233W","","267.3","72.5","433","10","Y","III","eligible"
"E-V260249-250","CV","","","","no sold_type","","","","","","","skip"
"E-V260251-252","CV","","","","no sold_type","","","","","","","skip"
"E-V260253-256","CV","","","","no sold_type","","","","","","","skip"
"E-V260257-260","CV","","","","no sold_type","","","","","","","skip"
"E-V260261-268","CV","","","","no sold_type","","","","","","","skip"
"E-V260269","CV","CVIII-350D/40.5-14271W","CVIII-350D/40.5-14271W","CM2III-500D/72.5B-14271W | CM2III-600D/72.5B-14271W | SHZVIII-400D/72.5B-14271W","","197.95","40.5","202","13","D","III","exact"
"E-V260270","CV","CVIII-350D/40.5-10090","","","no transformer I","","40.5","","","D","III","skip"
"E-V260271","CV","CVIII-350D/72.5-14271G","CVIII-350D/72.5-14271G","CM2III-500D/72.5B-14271G | CM2III-600D/72.5B-14271G | SHZVIII-400D/72.5B-14271G","","250","72.5","475","13","D","III","exact"
"E-V260272","CV","CVIII-350Y/72.5-10191W","","","no transformer I","","72.5","","","Y","III","skip"
"E-V260273-275","CV","CVIII-350Y/72.5-10191W","","","no transformer I","","72.5","","","Y","III","skip"
"E-V260276-277","CV","","","","no sold_type","","","","","","","skip"
"E-V260278","CV","CVIII-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CVIII-350Y/72.5-10193W | SVIII-500Y/72.5-10193W","","176","72.5","303","8","Y","III","eligible"
"E-V260279","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","53","72.5","1182","9","Y","III","eligible"
"E-V260280-281","CV","","","","no sold_type","","","","9","","","skip"
"E-V260282","CV","SVIII-500Y/40.5-10193W","CV2III-600Y/40.5-10193W","SVIII-500Y/40.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","417.8","40.5","417.8","8","Y","III","eligible"
"E-V260283-285","CV","","","","no sold_type","","","","","","","skip"
"E-V260286-289","CV","CVIII-350Y/72.5-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CVIII-350Y/72.5-10193W | SVIII-500Y/72.5-10193W","","267","72.5","318","8","Y","III","eligible"
"E-V260290","CV","CVIII-350Y/40.5-12111W","CV2III-350Y/40.5-12111W","CV2III-600Y/40.5-12111W | CVIII-350Y/40.5-12111W | SVIII-500Y/40.5-12111W","","223.9","40.5","158.77","5","Y","III","eligible"
"E-V260291","CV","SVIII-500D/40.5-12231W","CV2III-600D/40.5-12231W","SVIII-500D/40.5-12231W | CM2III-500D/72.5B-12231W | CM2III-600D/72.5B-12231W","","400","40.5","260","11","D","III","eligible"
"E-V260292","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","133","72.5","1182","9","Y","III","eligible"
"E-V260293","CV","CVI-350/40.5-10100W","","","no transformer I","","40.5","","","","I","skip"
"E-V260294","CV","CVIII-350D/40.5-10090","CV2III-350D/40.5-10090","CV2III-600D/40.5-10090 | CVIII-350D/40.5-10090 | SVIII-500D/40.5-10090","","11.2","40.5","825","","D","III","eligible"
"E-V260296","CV","CVIII-350Y/72.5-10191W","CV2III-350Y/72.5-10191W","CV2III-600Y/72.5-10191W | CVIII-350Y/72.5-10191W | SVIII-500Y/72.5-10191W","","133","72.5","1182","9","Y","III","eligible"
"E-V260297-300","CV","","","","no sold_type","","","","","","","skip"
"E-CVT260001","CVT","CVTIII-160D/12-0909","CVTIII-160D/12-10091W","CVTIII-200D/12-10091W | CZIII-500D/40.5-9 | CZIII-600D/40.5-9","","92.59","12","250","4","D","III","family-i-um"
"E-CVT260002-005","CVT","","","","no sold_type","119.9","","275","","","","skip"
"E-CVT260006","CVT","CVTIII-200D/12-0909","","","Parameters out of catalogue range (current, Um, step voltage, or positions).","88.88","12","500","","D","III","miss"
"E-CVT260007","CVT","","","","no sold_type","","","","","","","skip"
"E-CZ260001","CZ","3xCZI-500/40.5-7","CZI-500/40.5-7","CZI-600/40.5-7","","197","40.5","700","","Y","I","family-i-um"
"E-CZ260002-003","CZ","3xCZI-500/40.5-9","CZI-500/40.5-9","CZI-600/40.5-9","","56.1","40.5","825","","Y","I","family-i-um"
"E-CZ260004","CZ","3xCZI-500/40.5-17","","","no transformer I","","40.5","","","","I","skip"
"E-CZ260005-006","CZ","3xCZI-500/40.5-5","CZI-500/40.5-5","CZI-600/40.5-5","","173.6","40.5","530","","Y","I","family-i-um"
"E-CZ260007","CZ","3xCZI-500/40.5-9","CZI-500/40.5-9","CZI-600/40.5-9","","17.5","40.5","893","","Y","I","family-i-um"
"E-CZ260008-009","CZ","3xCZI-500/40.5-17","CZI-500/40.5-17","CZI-600/40.5-17","","25.3","40.5","375","","Y","I","family-i-um"
"E-CZ260010-011","CZ","","","","no sold_type","","","","","","","skip"
"E-CZ260012","CZ","3xCZI-500/40.5-17","","","no transformer I","","40.5","","17","","I","skip"
"E-CZ260013-014","CZ","","","","no sold_type","115.47","","505","4","","","skip"
"E-CZ260015","CZ","","","","no sold_type","","","","","","","skip"
"E-CZ260016","CZ","3xCZI-500/40.5-9","CZI-500/40.5-9","CZI-600/40.5-9","","183","40.5","500","","Y","I","family-i-um"
"E-CZ260017-018","CZ","","","","no sold_type","111.89","","359.69","4","","","skip"
"E-HWV260001","HWV","HWVIII-400Y/17.5-18353W","HWVIII-400Y/17.5-18353W","HWVIII-800Y/17.5-18353W | 3xHWVI-400/17.5-18353W | 3xHWVI-800/17.5-18353W","","117.14","17.5","431.25","16","Y","III","exact"
"E-HWV260002","HWV","HWVI-800Y/40.5-10193W","HWVI-800/40.5-10193W","HWVI-1000/40.5-10193W","","460","40.5","0","8","Y","I","exact"
"E-HWV260003","HWV","HWVIII-400D/72.5-18170","HWVIII-400D/72.5-18170","HWVIII-800D/72.5-18170 | 3xHWVI-400/72.5-18170 | 3xHWVI-800/72.5-18170","","102.9","72.5","825","","D","III","exact"
"E-HWV260004","HWV","HWVIII-800D/40.5-10193W","","","no transformer I","","40.5","","","D","III","skip"
"E-HWV260005","HWV","","","","no sold_type","149.4","","1182","9","","","skip"
"E-HWV260006","HWV","HWVIII-400Y/17.5-18353W","HWVIII-400Y/17.5-18353W","HWVIII-800Y/17.5-18353W | 3xHWVI-400/17.5-18353W | 3xHWVI-800/17.5-18353W","","117.14","17.5","431.25","16","Y","III","exact"
"E-HWV260007-008","HWV","HWVIII-1000D/40.5-1","HWVIII-1000D/40.5-10010","3xHWVI-1000/40.5-10010","","821.61","40.5","0","","D","III","family-i-um"
"E-SHZV260001","SHZV","SHZVIII-1000Y/126D-10193W","","","no transformer I","","126","","","Y","III","skip"
"E-SHZV260002","SHZV","SHZVIII-600Y/170D-14273G","CM2III-500Y/170D-14273G","CM2III-600Y/170D-14273G | SHZVIII-400Y/170D-14273G | SHZVIII-600Y/170D-14273G","","384.1","170","2857.9","12","Y","III","eligible"
"E-SHZV260003-009","SHZV","SHZVIII-1000Y/126D-10183W","","","no transformer I","","126","2500","","Y","III","skip"
"E-SHZV260010-013","SHZV","SHZVIII-1000Y/126D-10183W","","","no transformer I","","126","2500","","Y","III","skip"
"E-SHZV260014","SHZV","","","","no sold_type","","","","","","","skip"
"E-SHZV260015-019","SHZV","SHZVIII-1000Y/72.5C-10193G","SHZVIII-1000Y/72.5B-10193G","SHZVGIII-1300Y/72.5B-10193G | SHZVGIII-1500Y/72.5B-10193G | 3xCM2I-1200/72.5B-10193G","","787.3","72.5","238.2","8","Y","III","family-i-um"
"E-SHZV260020","SHZV","","","","no sold_type","615.84","","187.5","","","","skip"
"E-SHZV260021-022","SHZV","SHZVIII-600Y/126D-14273G","CM2III-500Y/126C-14273G","CM2III-600Y/126C-14273G | SHZVIII-400Y/126C-14273G | SHZVIII-600Y/126C-14273G","","180.4","126","2886.8","12","Y","III","eligible"
"E-SHZV260023","SHZV","","","","no sold_type","","","","","","","skip"
"E-SHZV260024-043","SHZV","SHZVIII-1000Y/72.5B-10191W","","","no transformer I","","72.5","","","Y","III","skip"
"E-SHZV260044-045","SHZV","SHZVIII-600Y/126D-14273G","CM2III-500Y/126C-14273G","CM2III-600Y/126C-14273G | SHZVIII-400Y/126C-14273G | SHZVIII-600Y/126C-14273G","","180.4","126","2886.8","12","Y","III","eligible"
"E-SHZV260046","SHZV","","","","no sold_type","","","","","","","skip"
"E-SHZV260047-48","SHZV","SHZVIII-1000Y/72.5B-10193G","","","no transformer I","","72.5","","","Y","III","skip"
"E-SHZV260049","SHZV","SHZVIII-1300Y/72.5D-12233G","SHZVGIII-1300Y/72.5B-12233G","SHZVGIII-1500Y/72.5B-12233G | 3xCM2I-1200/72.5B-12233G | 3xCM2I-1500/72.5B-12233G","","1033.3","72.5","1039.2","10","Y","III","miss"
"E-SHZV260050-051","SHZV","SHZVIII-400Y/72.5C-1223","CM2III-500Y/72.5B-10193W","CM2III-600Y/72.5B-10193W | SHZVIII-400Y/72.5B-10193W | SHZVIII-600Y/72.5B-10193W","","196.8","72.5","2540.3","","Y","III","eligible"
"E-SHZV260052-073","SHZV","SHZVIII-1000Y/126D-10183W","","","no transformer I","","126","2500","","Y","III","skip"
"E-SHZV260074-075","SHZV","","","","no sold_type","1321","","2584","6","","","skip"
"E-SHZV260076-077","SHZV","SHZVIII-600Y/72.5-18353W","CM2III-500Y/72.5B-18353W","CM2III-600Y/72.5B-18353W | SHZVIII-400Y/72.5B-18353W | SHZVIII-600Y/72.5B-18353W","","346.4","72.5","1991.9","16","Y","III","eligible"
"E-SHZV260079","SHZV","SHZVIII-1000Y/72.5B-12233W","","","no transformer I","","72.5","","","Y","III","skip"
"E-SHZV260080","SHZV","SHZVIII-1000Y/126C-14273G","SHZVIII-1000Y/126C-14273G","SHZVGIII-1300Y/126C-14273G | SHZVGIII-1500Y/126C-14273G | 3xCM2I-800/126C-14273G","","754","126","952","12","Y","III","exact"
"E-SHZV260081","SHZV","SHZVIII-1000Y/72.5C-12111W","","","no transformer I","","72.5","","","Y","III","skip"
"E-SHZV260082","SHZV","","","","no sold_type","1321","","2584","6","","","skip"
"E-SHZV260083-088","SHZV","3xSHZVI-2400Y/72.5D-10193","","","no transformer I","","72.5","","","Y","I","skip"
"E-SHZV260089-090","SHZV","SHZVIII-1000Y/72.5B-18170","SHZVIII-1000Y/72.5B-18170","SHZVGIII-1300Y/72.5B-18170 | SHZVGIII-1500Y/72.5B-18170 | 3xCM2I-800/72.5B-18170","","721.7","72.5","1157.7","","Y","III","exact"
"E-SHZV260091-092","SHZV","","","","no sold_type","747.16","","1299.04","","","","skip"
"E-SHZV260093-094","SHZV","SHZVIII-1000Y/72.5C-12111W","SHZVIII-1000Y/72.5B-12111W","SHZVGIII-1300Y/72.5B-12111W | SHZVGIII-1500Y/72.5B-12111W | 3xCM2I-800/72.5B-12111W","","673.8","72.5","1969","5","Y","III","family-i-um"
"E-SHZV260095-098","SHZV","SHZVIII-1000Y/72.5C-10193W","CM2III-600Y/72.5B-10193W","SHZVIII-600Y/72.5B-10193W | SHZVIII-1000Y/72.5B-10193W | SHZVGIII-1300Y/72.5B-10193W","","571","72.5","1624","8","Y","III","eligible"
"E-SHZV260099-100","SHZV","SHZVIII-400Y/252D-14273W","CM2III-500Y/252D-14273W","CM2III-600Y/252D-14273W | SHZVIII-400Y/252D-14273W | SHZVIII-600Y/252D-14273W","","194.5","252","1588","12","Y","III","eligible"
"E-SHZV260101","SHZV","SHZVIII-1000Y/72.5C-12111W","SHZVIII-1000Y/72.5B-12111W","SHZVGIII-1300Y/72.5B-12111W | SHZVGIII-1500Y/72.5B-12111W | 3xCM2I-1200/72.5B-12111W","","827.1","72.5","2511","5","Y","III","family-i-um"
"E-SHZV260102","SHZV","3xSHZVI-1200/300D-12111W","SHZVI-1200/300DE-12111W","SHZVI-1500/300DE-12111W | SHZVGI-1300/300DE-12111W | SHZVGI-3000/300DE-12111W","","996.1","300","1860","5","Y","I","family-i-um"
"E-SHZV260103","SHZV","SHZVIII-600Y/170D-12233G","","","no transformer I","","170","2878","10","Y","III","skip"
"E-SHZV260104","SHZV","SHZVIII-1000Y/72.5B-14273W","SHZVIII-1000Y/72.5B-14273W","SHZVGIII-1300Y/72.5B-14273W | SHZVGIII-1500Y/72.5B-14273W | 3xCM2I-800/72.5B-14273W","","654.3","72.5","866.03","12","Y","III","exact"
"E-SHZV260105","SHZV","SHZVIII-1000Y/72.5C-14271W","CM2III-500Y/72.5B-14271W","CM2III-600Y/72.5B-14271W | SHZVIII-600Y/72.5B-14271W | SHZVIII-1000Y/72.5B-14271W","","446.1","72.5","1270","13","Y","III","eligible"
"E-SHZV260106","SHZV","SHZVI-1000/126D-10191W","","","no transformer I","","126","","","","I","skip"
"E-SHZV260107-108","SHZV","SHZVIII-600Y/126D-14273G","CM2III-500Y/126C-14273G","CM2III-600Y/126C-14273G | SHZVIII-400Y/126C-14273G | SHZVIII-600Y/126C-14273G","","180.4","126","2886.8","12","Y","III","eligible"
"E-SHZV260109-113","SHZV","SHZVIII-600Y/126D-14273G","CM2III-500Y/126C-14273G","CM2III-600Y/126C-14273G | SHZVIII-400Y/126C-14273G | SHZVIII-600Y/126C-14273G","","180.4","126","2886.8","12","Y","III","eligible"
"E-SHZV260114","SHZV","","","","no sold_type","546.7","","1524.2","","","","skip"
"E-SHZV260116","SHZV","SHZVIII-600Y/126D-14273G","CM2III-500Y/126C-14273G","CM2III-600Y/126C-14273G | SHZVIII-400Y/126C-14273G | SHZVIII-600Y/126C-14273G","","180.4","126","2886.8","12","Y","III","eligible"
"E-SHZV260117-119","SHZV","SHZVIII-1000Y/72.5B-10191W","","","no transformer I","","72.5","","","Y","III","skip"
"E-SHZV260120-125","SHZV","SHZVIII-600Y/126D-14273G","CM2III-500Y/126C-14273G","CM2III-600Y/126C-14273G | SHZVIII-400Y/126C-14273G | SHZVIII-600Y/126C-14273G","","180.4","126","2886.8","12","Y","III","eligible"
"E-SHZV260129-130","SHZV","SHZVIII-1000Y/72.5B-12111W","SHZVIII-1000Y/72.5B-12111W","SHZVGIII-1300Y/72.5B-12111W | SHZVGIII-1500Y/72.5B-12111W | 3xCM2I-800/72.5B-12111W","","631.8","72.5","1905","5","Y","III","exact"
"E-SHZV260131","SHZV","SHZVIII-1000Y/72.5B-18353W","SHZVIII-1000Y/72.5B-18353W","SHZVGIII-1300Y/72.5B-18353W | SHZVGIII-1500Y/72.5B-18353W | 3xCM2I-800/72.5B-18353W","","734.47","72.5","49.796","16","Y","III","exact"
"E-SHZV260132","SHZV","SHZVIII-1000Y/170D-12233W","SHZVIII-1000Y/170D-12233W","SHZVGIII-1300Y/170D-12233W | SHZVGIII-1500Y/170D-12233W | 3xCM2I-800/170D-12233W","","720","170","1588","10","Y","III","exact"
"E-SHZV260133","SHZV","","","","no sold_type","","","","","","","skip"
"E-S260001-002","SY","SYXZZ-40.5-200-9","","","unparsed sold_type","","40.5","","","","","skip"
"E-S260003-008","SY","SYXZZ-40.5-200-9","","","unparsed sold_type","","40.5","","","","","skip"
"E-S260009-018","SY","SYXZZ-40.5-200-9","","","unparsed sold_type","","40.5","","","","","skip"
"E-S260019-028","SY","SYXZZ-40.5-200-9","","","unparsed sold_type","","40.5","","","","","skip"
"E-S260029","SY","SYXZZ-40.5-20-0","","","unparsed sold_type","109.5","40.5","505","4","","","skip"
"E-S260029","SY","SYXZZ-40.5-20-0","","","unparsed sold_type","109.5","40.5","505","4","","","skip"
"E-S260030-031","SY","SYXZZ-40.5-20-0","","","unparsed sold_type","109","40.5","505","4","","","skip"
"E-S260032-033","SY","WDGV-800/40.5-6x5","","","unparsed sold_type","","40.5","","","","V","skip"
"E-S260034","SY","","","","no sold_type","","","","","","","skip"
"E-S260035-036","SY","SYXZZ-40.5-20-0","","","unparsed sold_type","45.8","40.5","510","4","","","skip"
"E-S260037-038","SY","SYXZZ-40.5-20-0","","","unparsed sold_type","73.3","40.5","510","4","","","skip"
"E-S260039-040","SY","SYXZZ-40.5-20-0","","","unparsed sold_type","115.5","40.5","510","4","","","skip"
"E-S260041-050","SY","","","","no sold_type","","","","","","","skip"
"E-S260051-053","SY","CVIII-350Y/40.5-10193W","","","no transformer I","","40.5","","","Y","III","skip"
"E-S260054-063","SY","","","","no sold_type","","","","","","","skip"
"E-S260064-065","SY","","","","no sold_type","","","","","","","skip"
"E-S260066","SY","CVIII-350Y/72.5-10191W","","","no transformer I","","72.5","","","Y","III","skip"
"E-S260067-074","SY","","","","no sold_type","","","","","","","skip"
"E-CM2260001-002","VCM","CM2III-500Y/72.5C-12233G","","","no transformer I","","72.5","","","Y","III","skip"
"E-CM2260003-004","VCM","CM2III-500Y/170B-14273G","","","no transformer I","","170","","","Y","III","skip"
"E-CM2260005-008","VCM","CM2III-500Y/170B-14273G","","","no transformer I","","170","","","Y","III","skip"
"E-CM2260009","VCM","CM2III-500Y/170B-18171W","","","no transformer I","","170","","","Y","III","skip"
"E-CM2260010","VCM","CM2III-500Y/72.5B-10193W","CV2III-350Y/72.5-10193W","CV2III-600Y/72.5-10193W | CM2III-500Y/72.5B-10193W | CM2III-600Y/72.5B-10193W","","179.62","72.5","1624","8","Y","III","eligible"
"E-CM2260011-012","VCM","CM2I-500/252D-18353W","CM2I-500/252D-18353W","CM2I-600/252D-18353W | SHZVI-400/252D-18353W | SHZVI-600/252D-18353W","","65","252","1471","16","Y","I","exact"
"E-CM2260013-032","VCM","CM2III-600Y/72.5C-14273G","CM2III-500Y/72.5B-14273G","CM2III-600Y/72.5B-14273G | SHZVIII-400Y/72.5B-14273G | SHZVIII-600Y/72.5B-14273G","","234.3","72.5","1111.4","12","Y","III","family"
"E-CM2260033-067","VCM","CM2III-600Y/72.5C-14273G","CM2III-500Y/72.5B-14273G","CM2III-600Y/72.5B-14273G | SHZVIII-400Y/72.5B-14273G | SHZVIII-600Y/72.5B-14273G","","234.3","72.5","1111.4","12","Y","III","family"
"E-CM2260068-112","VCM","CM2III-600Y/72.5C-14273G","CM2III-500Y/72.5B-14273G","CM2III-600Y/72.5B-14273G | SHZVIII-400Y/72.5B-14273G | SHZVIII-600Y/72.5B-14273G","","374.9","72.5","1111.4","12","Y","III","family"
"E-CM2260113","VCM","CM2III-500Y/72.5B-14271W","CM2III-500Y/72.5B-14271W","CM2III-600Y/72.5B-14271W | SHZVIII-400Y/72.5B-14271W | SHZVIII-600Y/72.5B-14271W","","248.86","72.5","565","13","Y","III","exact"
"E-CM2260115-116","VCM","","","","no sold_type","294.34","","1299.04","","","","skip"
"E-CM2260117","VCM","CM2III-500Y/72.5B-14271W","CM2III-500Y/72.5B-14271W","CM2III-600Y/72.5B-14271W | SHZVIII-400Y/72.5B-14271W | SHZVIII-600Y/72.5B-14271W","","218.69","72.5","381.05","13","Y","III","exact"
"E-CM2260118","VCM","CM2III-300Y/170B-12233W","CM2III-500Y/170D-12233W","CM2III-600Y/170D-12233W | SHZVIII-400Y/170D-12233W | SHZVIII-600Y/170D-12233W","","88","170","1082.5","10","Y","III","family"
"E-CM2260119","VCM","","","","no sold_type","","","","","","","skip"
"E-CM2260120","VCM","3xCM2I-1500/72.5B-10193W","","","no transformer I","","72.5","360","","","I","skip"
"E-CM2260121","VCM","CM2III-500Y/72.5C-14273W","CM2III-500Y/72.5B-14273W","CM2III-600Y/72.5B-14273W | SHZVIII-400Y/72.5B-14273W | SHZVIII-600Y/72.5B-14273W","","264.2","72.5","1328","12","Y","III","family-i-um"
"E-CM2260122","VCM","CM2III-500Y/72.5C-14273W","CM2III-500Y/72.5B-14273W","CM2III-600Y/72.5B-14273W | SHZVIII-400Y/72.5B-14273W | SHZVIII-600Y/72.5B-14273W","","166.5","72.5","1328","12","Y","III","family-i-um"
"E-CM2260123-124","VCM","","","","no sold_type","162.1","","952.6","","","","skip"
"E-CM2260125-126","VCM","CM2III-500Y/170B-14273G","","","no transformer I","","170","","","Y","III","skip"
"E-CM2260127-136","VCM","CM2III-600Y/72.5C-14273G","CM2III-500Y/72.5B-14273G","CM2III-600Y/72.5B-14273G | SHZVIII-400Y/72.5B-14273G | SHZVIII-600Y/72.5B-14273G","","374.9","72.5","1111.4","12","Y","III","family"
"E-CM2260137-138","VCM","CM2III-500Y/126B-14273G","CM2III-500Y/126C-14273G","CM2III-600Y/126C-14273G | SHZVIII-400Y/126C-14273G | SHZVIII-600Y/126C-14273G","","128.6","126","953","12","Y","III","family-i-um"
"E-CM2260139","VCM","CM2III-500Y/126B-12231W","CV2III-600Y/126-12231W","CM2III-500Y/126C-12231W | CM2III-600Y/126C-12231W | SHZVIII-400Y/126C-12231W","","355.4","126","664","11","Y","III","eligible"
"E-CM2260140","VCM","CM2III-500Y/72.5C-14273W","CM2III-500Y/72.5B-14273W","CM2III-600Y/72.5B-14273W | SHZVIII-600Y/72.5B-14273W | SHZVIII-1000Y/72.5B-14273W","","423","72.5","1328","12","Y","III","family-i-um"
"E-CM2260141","VCM","3xCM2I-1500/170B-14131W","CM2I-1500/170D-14131W","SHZVI-1500/170D-14131W | SHZVI-1600/170D-14131W | SHZVGI-3000/170D-14131W","","1356","170","1346","6","Y","I","family-i-um"
"E-CM2260142-143","VCM","CM2I-600/72.5C-12233W","CV2I-350/72.5-12233W","CV2I-600/72.5-12233W | CM2I-500/72.5B-12233W | CM2I-600/72.5B-12233W","","290.9","72.5","800","10","Y","I","eligible"
"E-CM2260144","VCM","CM2III-500Y/72.5B-14271W","CM2III-500Y/72.5B-14271W","CM2III-600Y/72.5B-14271W | SHZVIII-400Y/72.5B-14271W | SHZVIII-600Y/72.5B-14271W","","163.4","72.5","306","13","Y","III","exact"
"E-CM2260145","VCM","CM2III-500Y/72.5B-14273G","CM2III-500Y/72.5B-14273G","CM2III-600Y/72.5B-14273G | SHZVIII-600Y/72.5B-14273G | SHZVIII-1000Y/72.5B-14273G","","453","72.5","433","12","Y","III","exact"
